id,price,name,art,topprize,topstart,topremaining,allstart,allremaining,chancestowin,launchdate,probability
288,20,MONOPOLY,https://www.mdlottery.com/wp-content/uploads/2018/09/Monopoly_Front.jpg,1000000,3,1,583557,122521,28,2018-09-24T04:00:00.000Z,3.05
335,2,Lucky Bingo,https://www.mdlottery.com/wp-content/uploads/2018/06/LuckyBingo_Front.jpg,20000,12,1,1131711,171830,4,2017-08-28T04:00:00.000Z,4.1
365,30,"$2,000,000 Mega Bucks",https://www.mdlottery.com/wp-content/uploads/2018/06/2M_MegaBucks_Front.jpg,2000000,5,0,1260382,129884,44,2018-02-26T05:00:00.000Z,2.82
380,20,"$1,000,000 Blowout",https://www.mdlottery.com/wp-content/uploads/2018/06/1M-Blowout_Front.jpg,1000000,7,4,1148656,622072,25,2018-06-25T04:00:00.000Z,2.96
383,10,All the Money,https://www.mdlottery.com/wp-content/uploads/2018/09/AlltheMoney_Front.jpg,100000,7,3,794663,143694,26,2018-09-24T04:00:00.000Z,3.38
401,5,Gold Bar Bingo,https://www.mdlottery.com/wp-content/uploads/2019/01/GoldBarBingo_NewWebsite_576w_FRONT_RGB.jpg,50000,7,1,1419647,143234,6,2018-12-26T05:00:00.000Z,3.75
402,1,"$3,000,000 Cash Payout!",https://www.mdlottery.com/wp-content/uploads/2019/01/3M_CashPayout_Front.jpg,1000,25,8,1340415,550808,6,2019-01-21T05:00:00.000Z,4.52
403,2,"$4,000,000 Cash Payout!",https://www.mdlottery.com/wp-content/uploads/2019/01/4M_CashPayout_Front.jpg,10000,5,1,808711,224510,10,2019-01-21T05:00:00.000Z,4.04
404,5,"$15,000,000 Cash Payout!",https://www.mdlottery.com/wp-content/uploads/2019/01/15M_CashPayout_Front.jpg,50000,7,2,1226218,386921,15,2019-01-21T05:00:00.000Z,3.76
405,10,"$20,000,000 Cash Payout!",https://www.mdlottery.com/wp-content/uploads/2019/01/20M_CashPayout_Front.jpg,100000,6,1,939136,279840,25,2019-01-21T05:00:00.000Z,3.38
406,1,Dollar $ign$,https://www.mdlottery.com/wp-content/uploads/2019/07/DollarSigns_Front.jpg,1000,40,19,1344149,721728,6,2019-07-22T04:00:00.000Z,4.58
407,5,Super Ca$h,https://www.mdlottery.com/wp-content/uploads/2019/11/Super_Cash_FRONT_576w_RGB.jpg,50000,9,0,1093598,84299,15,2019-11-18T05:00:00.000Z,3.71
408,10,Cash Club,https://www.mdlottery.com/wp-content/uploads/2020/01/Cash_Club_FRONT_576w_RGB.jpg,100000,10,1,800580,109883,25,2019-11-18T05:00:00.000Z,3.36
409,20,Max a Million,https://www.mdlottery.com/wp-content/uploads/2018/11/MaxAMillion_Front.jpg,1000000,7,3,1168244,399508,31,2018-11-26T05:00:00.000Z,2.9
410,2,Moneybag Multiplier,https://www.mdlottery.com/wp-content/uploads/2019/02/Moneybag_Multiplier_410_FRONT_576w_RGB.jpg,10000,5,1,796879,183160,10,2019-02-25T05:00:00.000Z,3.98
411,3,Bonus Crossword,https://www.mdlottery.com/wp-content/uploads/2019/02/Bonus_Crossword_411_FRONT_576w_RGB.jpg,30000,8,4,924700,271648,2,2019-02-25T05:00:00.000Z,3.68
412,2,Find the 9s,https://www.mdlottery.com/wp-content/uploads/2018/11/FindThe9s_2018_Front.jpg,10000,8,2,894402,345279,10,2018-11-26T05:00:00.000Z,4.08
413,1,Quick $25s,https://www.mdlottery.com/wp-content/uploads/2019/01/Quick25s_NewWebsite_576w_FRONT_RGB.jpg,1000,36,13,1339884,585057,8,2018-12-26T05:00:00.000Z,4.6
414,5,"$50,000 Diamonds",https://www.mdlottery.com/wp-content/uploads/2019/01/50000_Diamonds_FRONT_NewWebsite_576w_RGB.jpg,50000,5,1,1110386,268888,15,2018-12-26T05:00:00.000Z,3.71
415,10,Power 8s,https://www.mdlottery.com/wp-content/uploads/2019/01/Power_8s_NewWebsite_576w_FRONT_RGB.jpg,100000,11,2,810989,183994,25,2018-12-26T05:00:00.000Z,3.3
416,5,Home Run Riches,https://www.mdlottery.com/wp-content/uploads/2019/02/HomeRunRiches_FRONT_RGB.jpg,50000,7,2,1156802,284718,15,2019-02-25T05:00:00.000Z,3.98
